1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,23.02.03 Tekhnicheskoe obsluzhivanie i remont avtomobilnogo transporta,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,23.02.03 Tekhnicheskoe obsluzhivanie i remont avtomobilnogo transporta,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,23.02.03 Tekhnicheskoe obsluzhivanie i remont avtomobilnogo transporta,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,23.02.06 Tekhnicheskaya ekspluatatsiya podvizhnogo sostava zheleznykh dorog,Vsego,38,16,16,16,0,0,0,19,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,23.02.06 Tekhnicheskaya ekspluatatsiya podvizhnogo sostava zheleznykh dorog,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,23.02.06 Tekhnicheskaya ekspluatatsiya podvizhnogo sostava zheleznykh dorog,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,23.02.06 Tekhnicheskaya ekspluatatsiya podvizhnogo sostava zheleznykh dorog,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,23.02.06 Tekhnicheskaya ekspluatatsiya podvizhnogo sostava zheleznykh dorog,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,38.02.04 Kommertsiya (po otraslyam),Vsego,22,8,5,5,0,0,0,2,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,38.02.04 Kommertsiya (po otraslyam),litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,38.02.04 Kommertsiya (po otraslyam),litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,38.02.04 Kommertsiya (po otraslyam),Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,38.02.04 Kommertsiya (po otraslyam),Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,39.02.01 Sotsialnaya rabota,Vsego,26,15,7,7,0,0,1,0,0,1,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,39.02.01 Sotsialnaya rabota,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,39.02.01 Sotsialnaya rabota,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,39.02.01 Sotsialnaya rabota,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,39.02.01 Sotsialnaya rabota,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,43.02.06 Servis na transporte (po vidam transporta),Vsego,22,8,2,6,0,0,2,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,43.02.06 Servis na transporte (po vidam transporta),litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,43.02.06 Servis na transporte (po vidam transporta),litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,43.02.06 Servis na transporte (po vidam transporta),Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,43.02.06 Servis na transporte (po vidam transporta),Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,Vsego,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.06 Professionalnoe obuchenie (po otraslyam),Vsego,11,9,9,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.06 Professionalnoe obuchenie (po otraslyam),litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.06 Professionalnoe obuchenie (po otraslyam),litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.06 Professionalnoe obuchenie (po otraslyam),Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.06 Professionalnoe obuchenie (po otraslyam),Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,46.02.01 Dokumentatsionnoe obespechenie upravleniya i arkhivovedenie,Vsego,18,11,3,11,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,46.02.01 Dokumentatsionnoe obespechenie upravleniya i arkhivovedenie,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,46.02.01 Dokumentatsionnoe obespechenie upravleniya i arkhivovedenie,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,46.02.01 Dokumentatsionnoe obespechenie upravleniya i arkhivovedenie,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,46.02.01 Dokumentatsionnoe obespechenie upravleniya i arkhivovedenie,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,49.02.01 Fizicheskaya kultura,Vsego,10,4,0,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,49.02.01 Fizicheskaya kultura,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,49.02.01 Fizicheskaya kultura,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,49.02.01 Fizicheskaya kultura,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,49.02.01 Fizicheskaya kultura,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,09.02.01 Kompyuternye sistemy i kompleksy,Vsego,18,5,4,5,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,09.02.01 Kompyuternye sistemy i kompleksy,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,09.02.01 Kompyuternye sistemy i kompleksy,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,09.02.01 Kompyuternye sistemy i kompleksy,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,09.02.01 Kompyuternye sistemy i kompleksy,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,19.02.10 Tekhnologiya produktsii obschestvennogo pitaniya,Vsego,13,7,7,6,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,19.02.10 Tekhnologiya produktsii obschestvennogo pitaniya,litsa s OVZ,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,19.02.10 Tekhnologiya produktsii obschestvennogo pitaniya,litsa s OVZ (invalidy i deti-invalidy),1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,19.02.10 Tekhnologiya produktsii obschestvennogo pitaniya,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,19.02.10 Tekhnologiya produktsii obschestvennogo pitaniya,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,23.02.03 Tekhnicheskoe obsluzhivanie i remont avtomobilnogo transporta,Vsego,28,13,10,10,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,23.02.03 Tekhnicheskoe obsluzhivanie i remont avtomobilnogo transporta,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,23.02.03 Tekhnicheskoe obsluzhivanie i remont avtomobilnogo transporta,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,23.02.03 Tekhnicheskoe obsluzhivanie i remont avtomobilnogo transporta,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,23.02.03 Tekhnicheskoe obsluzhivanie i remont avtomobilnogo transporta,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,13.01.10 Elektromonter po remontu i obsluzhivaniyu elektrooborudovaniya (po otraslyam),Vsego,11,5,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,13.01.10 Elektromonter po remontu i obsluzhivaniyu elektrooborudovaniya (po otraslyam),litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,13.01.10 Elektromonter po remontu i obsluzhivaniyu elektrooborudovaniya (po otraslyam),litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Artemovskiy kolledzh tochnogo priborostroeniya,13.01.10 Elektromonter po remontu i obsluzhivaniyu elektrooborudovaniya (po otraslyam),Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
