Идентификатор;Место в России;Место в субъекте;Сумма баллов(общая);Наименование ОО;Сумма баллов (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Место в блоке (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Сумма баллов (ИНФРАСТРУКТУРА);Место в блоке (ИНФРАСТРУКТУРА);Сумма баллов (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (КАДРОВЫЙ СОСТАВ);Место в блоке (КАДРОВЫЙ СОСТАВ);Сумма баллов (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Место в блоке (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Сумма баллов (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);Место в блоке (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);1.4.1 и 1.4.2;1.5.1 и 1.5.2;1.8;1.10;2.2;3.3.1 и 3.3.2;4.3;4.6;5.1;5.2;6.2;6.3;7.1;8.2;8.4;8.5;8.10
45;1346;44;27;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Уральский радиотехнический колледж им. А.С. Попова""";10;10;2;31;0;43;3;72;8;1;0;27;2;49;2;106; 3,50; 4,00; 77,14; 0,33; 0,58; 0,00; 28,60; 8,99; 155,08; 701,83; 0,00; 0,00; 92,05; 20,46; 87,62; 0,00; 0,00
46;1346;44;27;"Нижнетагильский филиал Государственного бюджетного профессионального образовательного учреждения "" Свердловский областной медицинский колледж""";9;22;2;31;4;1;1;113;6;18;0;27;1;64;4;92; 100,00; 3,88; 55,81; 4,36; 0,79; 100,00; 0,00; 3,78; 131,37; 165,03; 0,00; 0,00; 98,82; 56,69; 49,23; 5,33; 0,00
47;1346;44;27;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский автомобильно-дорожный колледж""";5;64;2;31;0;43;4;49;6;18;0;27;0;76;10;9; 11,95; 3,87; 4,84; 0,00; 0,56; 0,00; 2,75; 33,31; 109,08; 554,66; 0,00; 0,00; 0,00; 60,50; 100,00; 8,65; 0,00
48;1346;44;27;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ «УРАЛЬСКИЙ ХОРЕОГРАФИЧЕСКИЙ КОЛЛЕДЖ»;5;64;4;1;0;43;7;1;6;18;0;27;0;76;5;74; 100,00; 3,51; 0,00; 0,00; 2,86; 0,00; 100,00; 81,94; 131,47; 23,01; 0,00; 0,00; 0,00; 16,04; 100,00; 0,00; 0,00
49;1495;49;26;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Каменск-Уральский педагогический колледж""";7;41;0;74;0;43;5;27;2;111;0;27;3;1;9;19; 90,39; 4,12; 63,39; 0,00; 0,00; 0,00; 66,04; 6,03; 95,19; 22,36; 0,00; 0,00; 100,00; 43,88; 100,00; 13,64; 0,00
50;1495;49;26;"Красноуфимский филиал ГБОУ СПО ""СОМК""";10;10;0;74;0;43;4;49;4;55;0;27;3;1;5;74; 100,00; 4,04; 56,57; 2,60; 0,00; 0,00; 12,76; 9,58; 119,59; 75,76; 0,00; 0,00; 100,00; 85,96; 86,24; 0,00; 0,00
51;1639;51;25;"Государственное бюджетное образовательное учреждение среднего профессионального образования Свердловской области ""Красноуфимский педагогический колледж""";8;31;1;45;0;43;4;49;3;84;0;27;3;1;6;58; 0,00; 4,01; 44,39; 0,27; 0,15; 0,00; 48,74; 10,38; 104,03; 53,76; 0,00; 0,00; 100,00; 49,54; 100,00; 0,00; 0,00
52;1639;51;25;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Сысертский социально-экономический техникум ""Родник""";4;86;0;74;0;43;2;100;4;55;2;15;3;1;10;9; 16,61; 3,56; 2,50; 0,00; 0,00; 0,00; 11,15; 15,79; 110,89; 35,67; 0,00; 6,02; 100,00; 58,85; 100,00; 6,98; 0,00
53;1639;51;25;Государственное автономное профессиональное образовательное учреждение Свердловской области «Асбестовский политехникум»;5;64;2;31;0;43;3;72;4;55;1;22;3;1;7;46; 5,88; 3,73; 26,93; 0,00; 0,43; 0,00; 25,88; 4,38; 101,15; 99,82; 0,85; 0,00; 100,00; 43,75; 100,00; 0,48; 0,00
54;1639;51;25;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Асбестовский колледж искусств""";8;31;0;74;0;43;4;49;2;111;2;15;3;1;6;58; 96,57; 4,07; 61,36; 2,29; 0,00; 0,00; 13,26; 98,24; 100,07; 0,00; 0,00; 9,05; 100,00; 43,58; 100,00; 0,00; 28,46
